# source-path (relative to /Users/nick/ai-os/shattered-sea/)	target/outcome	commit	date
wiki/entities/characters/npcs/estratto.md	world/npcs/estratto.md	4faec06	2026-07-13
wiki/entities/characters/pcs/jean-claude-tabarnack.md	R1: refusal (PC boundary); R4 line ingests	501f387	2026-07-13
wiki/entities/places/settlements/calveno/calveno-reference.md	world/locations/calveno.md	f9f4132	2026-07-13
wiki/entities/items/common/preserved-eel.md	world/items/preserved-eel.md	0280891	2026-07-13
wiki/entities/factions/sentinels-of-the-eyrie.md	world/factions/sentinels-of-the-eyrie.md	ff53e88	2026-07-13
wiki/entities/creatures/background/gentle-hag.md	world/creatures/gentle-hag.md	1214f8a0	2026-07-13
wiki/entities/deities/syranita.md	world/lore/syranita.md	14fafec	2026-07-13
wiki/lore/species/grung.md	world/lore/grung.md	21bef01	2026-07-13
wiki/entities/vehicles/vethka.md	world/ships/vethka.md	9497e4b	2026-07-13
wiki/lore/campaign-overview.md	world/lore/campaign-overview.md	d794cc8	2026-07-13
wiki/rules/subclasses/swashbuckler.md	world/rules/swashbuckler.md	2d3d139	2026-07-13
wiki/sessions/session-01-recap.md	sessions/01-boarding-of-the-saltwright/ (transcript+ledger)	75ae5e5	2026-07-13
wiki/situations/dormant/draves-bloodline-question.md	homeless-pressure flag only (needs Crown/Aldric faction page)	84d8f8a	2026-07-13
wiki/narrative-islands/port-tidefall-dockfront.md	no page by design (run-guide-scoped; options logged)	bcfa763	2026-07-13
wiki/system/character-interview-guide.md	mapped: dnd5e-character-interview	240d188	2026-07-13
wiki/entities/characters/minor/ferrin-locke.md	world/npcs/ferrin-locke.md	20fb033	2026-07-13
wiki/entities/places/buildings/grimaldis-dispensary.md	world/locations/grimaldis-dispensary.md	4f8b6f9	2026-07-13
wiki/entities/items/common/fish-broth.md	world/items/fish-broth.md	4cc3a33	2026-07-13
wiki/entities/factions/waveservants.md	world/factions/waveservants.md	eff7aa7	2026-07-13
wiki/entities/creatures/background/giant-owl.md	world/creatures/giant-owl.md	ac61fc3	2026-07-13
wiki/entities/deities/tyr.md	world/lore/tyr.md	d94e7ac	2026-07-13
wiki/entities/species/human.md	world/lore/human.md (W9: byte-identical to lore/species/human-culture.md)	a424d8d	2026-07-13
wiki/lore/species/human-culture.md	covered by world/lore/human.md (degenerate duplicate)	a424d8d	2026-07-13
wiki/entities/vehicles/greyteeth-runner.md	world/ships/greyteeth-runner.md	f66b4a1	2026-07-13
wiki/lore/the-vault-of-the-first-factor.md	world/lore/the-vault-of-the-first-factor.md	ebdb1b6	2026-07-13
wiki/rules/subclasses/draconic-sorcery.md	world/rules/draconic-sorcery.md	cd0659c	2026-07-13
wiki/situations/dormant/sentinels-true-head.md	absorbed → world/factions/sentinels-of-the-eyrie.md Front	1b69422	2026-07-13
wiki/dm/perrin-primer.md	refusal (PC-tactical primer; Arc Notes ownership open)	1542d7b	2026-07-13
wiki/entities/creatures/planned/soul-incarnate.md	world/creatures/soul-incarnate.md	07e407b	2026-07-13
wiki/entities/items/uncommon/delmars-cloak-of-the-manta-ray.md	world/items/delmars-cloak-of-the-manta-ray.md	8714561	2026-07-13
wiki/entities/items/artifact/pearl-of-souls.md	world/items/pearl-of-souls.md	b5a2520	2026-07-13
wiki/entities/items/artifact/pearl-of-souls-dm.md	folded into world/items/pearl-of-souls.md DM Only	b5a2520	2026-07-13
wiki/entities/places/dungeons/calveno-sewers-grung-magazines.md	world/locations/calveno-sewers-grung-magazines.md	6b80112	2026-07-13
wiki/entities/places/planes/elemental-plane-of-water.md	world/locations/elemental-plane-of-water.md	04b9ee8	2026-07-13
wiki/rules/subsystems/carpenters-shop.md	world/rules/carpenters-shop.md	18eb204	2026-07-13
wiki/rules/backgrounds/guard.md	world/rules/guard.md	4e4dcd1	2026-07-13
wiki/sessions/session-02-recap.md	sessions/02-conflict-is-a-surety/ (transcript+ledger)	8c83215	2026-07-13
wiki/situations/active/sunken-crown-blessing-crisis.md	absorbed → world/factions/waveservants.md Front	b9ae11d	2026-07-13
wiki/dm/combat-analytics.md	mapped: encounter-design combat-calibration (recompute-fresh design)	cb3d2a9	2026-07-13
wiki/hot.md	mapped: session-run-guide Hard Rule 5 (grep, never a state file)	510543d	2026-07-13
wiki/entities/characters/crew/alys-kuiper.md	world/npcs/alys-kuiper.md	49d1e23	2026-07-13
wiki/entities/vehicles/hcs-surety-dm-guide.md	folded into world/ships/hcs-surety.md DM Only	67b03e1	2026-07-13
wiki/entities/vehicles/hcs-surety-layout.md	world/ships/hcs-surety-layout.md	3a78e41	2026-07-13
wiki/entities/vehicles/hcs-surety-manifest.md	world/ships/hcs-surety-manifest.md	cc084d1	2026-07-13
wiki/entities/vehicles/hcs-surety-owners-manual.md	world/ships/hcs-surety-owners-manual.md	c564112	2026-07-13
wiki/rules/classes/ranger.md	world/rules/ranger.md	0a82bff	2026-07-14
wiki/rules/core/siege-rules.md	world/rules/siege-rules.md	4ffdded	2026-07-14
wiki/faq.md	internal-equivalent — no wiki page (see queue: ss5-root-faq.md)	965ce1b	2026-07-14
notebooklm-export/2026-06-14/la-vasca.md	expand-in-place: world/locations/calveno-la-vasca.md	8b52b6a	2026-07-14
entities/characters/pcs/catarina-davirelli.md	pcs/catarina-davirelli.md	3dc4ca1	2026-07-14
entities/characters/pcs/crissdalynn-khinriss.md	pcs/crissdalynn-khinriss.md	46d8255	2026-07-14
lore/peoples-of-the-shattered-sea.md	world/lore/peoples-of-the-shattered-sea.md	8d2d201	2026-07-14
entities/characters/pcs/delmar-fisk.md	pcs/delmar-fisk.md	98fe114	2026-07-14
wiki/entities/characters/npcs/ket.md	world/npcs/ket.md	3d76929	2026-07-14
wiki/entities/items/sending-stone-nona.md	world/items/sending-stone-nona.md	1758e36	2026-07-14
entities/factions/grung-clans.md	world/factions/grung-clans.md	40eb100	2026-07-14
entities/places/settlements/warren.md	world/locations/warren.md	51e58a7	2026-07-14
entities/characters/npcs/nona-black-jaw.md	world/npcs/nona-black-jaw.md	677cd6c	2026-07-14
wiki/narrative-islands/warren-grung-sewers.md	no page by design (run-guide-scoped; qmd-discovery weave against calveno-sewers-grung-magazines.md logged)	42789cc	2026-07-14
wiki/situations/resolved/nonas-favor.md	absorption -> world/npcs/nona-black-jaw.md (historical DM Only)	da2f769	2026-07-14
situations/active/warren-situation.md	absorption -> world/locations/warren.md (DM Only expansion)	75e92a9	2026-07-14
wiki/discrepancy-log.md	mapping documented (c: unmigrated, both entries) -> archive/2026-07/ss7-discrepancy-log.md	6a3d38e	2026-07-14
wiki/log.md	refused — internal-equivalent-check (maps to INGESTED.tsv+MIGRATION-LEDGER.md, no wiki page)	a9164f3	2026-07-14
notebooklm-export/2026-06-14/session-05-run-guide.md	refused — planned/unplayed run-guide, R4 precedent (0acfd23) holds; prep-side pending not exercised (no migration-mode owned prep path)	82e5311	2026-07-14
wiki/work-queue.md	refused — internal-equivalent-check (maps to INGESTED.tsv+MIGRATION-LEDGER.md; unmapped residuals: bela-silt-paw, nimmik-vollask, 4 active situations)	ce6f37e	2026-07-14
wiki/sessions/session-03-recap.md	sessions/03-getting-in-on-the-joke/ (transcript.md + state-changes.md, LEGACY-SOURCE gate)	7ad1e3b	2026-07-14
entities/items/uncommon/oil-of-still-water.md	world/items/oil-of-still-water.md	1a5bcbe	2026-07-14
session-06-export/session-06-run-guide.md	maps/refuses — staging content, no target page; candidate-canon extracted to queue	69116eb2bc646f9f91d1c073d7f8668879c9c646	2026-07-14
lore/the-galewall-runners-drop.md	world/lore/the-galewall-runners-drop.md	784e8fc	2026-07-14
session-06-export/solange-barret.md	world/npcs/solange-barret.md, pending	0a67a283fb91f2310eadecfa47868cda17f46a86	2026-07-14
session-06-export/rupert-knighton.md	world/npcs/rupert-knighton.md (canon)	f2fc18a	2026-07-14
session-06-export/bazzoth-the-steeped.md	world/npcs/bazzoth-the-steeped.md (pending)	5957b50	2026-07-14
session-06-export/otar-the-foul.md	world/npcs/otar-the-foul.md (new, status: pending)	d8999c0	2026-07-14
session-06-export/session-04.md	sessions/04-the-frog-the-owl-and-the-bomb/ (transcript.md + state-changes.md, LEGACY-SOURCE gate; byte-identical twin notebooklm-export/2026-06-14/session-04.md also covered)	a7cc227	2026-07-14
session-06-export/calveno-sewers-grung-magazines.md	world/locations/calveno-sewers-grung-magazines.md (expand)	2a530824f784e773373ee0322ef8c44517a5d9f3	2026-07-14
session-06-export/warren-grung-sewers.md	world/locations/calveno-sewers-grung-magazines.md (expand — 1 fact)	e484ffa35e963757a221de0d9d1140b7aef86dcb	2026-07-14
entities/creatures/active/bazzoth-the-steeped.md	world/npcs/bazzoth-the-steeped.md (expanded)	f3ab557	2026-07-14
entities/characters/minor/bela-silt-paw.md	world/npcs/bela-silt-paw.md (new, pending)	ae65d86	2026-07-14
wiki/entities/creatures/active/grung-elite-warrior.md	world/creatures/grung-elite-warrior.md (new, canonical statblock; Room 3 excerpt flagged for de-dup)	9a4cf9d	2026-07-14
entities/characters/npcs/anzolo.md	world/npcs/anzolo.md (new, canon)	2c0db8fea1d3c384292ed18dcfd233f44c2073c1	2026-07-14
entities/creatures/active/ruma-delacroix.md	world/npcs/ruma-delacroix.md (new, canon; actual source at wiki/entities/characters/npcs/ruma-delacroix.md — ledger path never existed in shattered-sea git history)	4e7c996e3e9ec62e675745677d8829387c71fcff	2026-07-14
wiki/entities/places/settlements/calveno/ponte-bassa.md	world/locations/ponte-bassa.md	98b45644145b9a9347be7ba5adb0b44e2441441c	2026-07-14
entities/places/buildings/studio-orsini.md	world/locations/studio-orsini.md	0b6c256	2026-07-14
entities/creatures/active/ozzeth-the-twiceborn.md	world/npcs/ozzeth-the-twiceborn.md	840d616e253bd59c40c4745c9b2a8584514aa1c4	2026-07-14
entities/characters/npcs/enzo.md	world/npcs/enzo.md	6cbf93f	2026-07-14
entities/creatures/active/vashu-the-weeping-veil.md	world/npcs/vashu-the-weeping-veil.md	f7cad16c6c8c73787e76205bc0a59c7c89dba887	2026-07-14
situations/active/calveno-beffa-grung-raid.md	absorbed: world/factions/grung-clans.md + world/locations/calveno-sewers-grung-magazines.md	ff8e8f5	2026-07-14
