ID,Start,End,Speaker,Text
1,00:00,00:08,Speaker mic01,And before the groom that was standing there is replaced with a miss slowly settling to the ground.
2,00:08,00:09,Speaker mic01,That's the monk one?
3,00:10,00:13,Speaker mic01,"No, that's uh you were firing at the one that stabbed you, right?"
4,00:13,00:14,Speaker mic01,"No, this one, yes."
5,00:14,00:18,Speaker mic01,The pistol's the one that uh that uh was the pistol was at the one that stabbed me.
6,00:18,00:21,Speaker mic01,The blunder bus was the blind one.
7,00:21,00:22,Speaker mic01,"The blind one, okay."
8,00:22,00:30,Speaker mic00,"So you're um I'm sorry, I didn't I'm trying to damage the deal by trying to shoot it in the I would be able to manage to do range."
9,00:22,00:30,Speaker mic01,"So you're um I'm trying to I'm trying to damage deal, but I realized if I tried to shoot it immediately, I would be at disadvantage because it was close range."
10,00:30,00:32,Speaker mic01,So that's why I rolled away.
11,00:31,00:32,Speaker mic00,That's what you would do.
12,00:32,00:37,Speaker mic00,Oh I I I misinterpreted you so that the No dead yet.
13,00:32,00:33,Speaker mic01,Okay.
14,00:33,00:37,Speaker mic01,So I I misinterpreted your so the the it's not dead yet.
15,00:37,00:41,Speaker mic01,"It's still very limited, and Bash is then taking damage there."
16,00:41,00:43,Speaker mic01,So how much damage is gonna do total?
17,00:43,01:03,Speaker mic00,"Oh um I was saying it's usually not um that says 18 plus five, which was twenty four, and then it's uh four and six uh sneak attacks nice."
18,00:43,00:46,Speaker mic01,"Oh, um, I well, I still need to finish rolling the dice."
19,00:46,00:58,Speaker mic01,"Um that's an 18 plus five, which was 24, and then it's uh uh uh four d6 for my sneak attack."
20,00:58,01:00,Speaker mic01,Uh and I don't have anything to say.
21,01:01,01:01,Speaker mic01,Pause.
22,01:01,01:03,Speaker mic01,Do you get sneak attack twice?
23,01:03,01:06,Speaker mic00,You do not bust around once around.
24,01:04,01:05,Speaker mic01,Only once per round.
25,01:05,01:06,Speaker mic01,Once per round.
26,01:06,01:07,Speaker mic01,"Yeah, that's what I'm per turn."
27,01:06,01:06,Speaker mic00,Yep.
28,01:07,01:10,Speaker mic01,Oh sneak attacks over damage with the bigger.
29,01:07,01:10,Speaker mic00,"Yep, put the sneak attacks away, you just get the damage dice."
30,01:10,01:11,Speaker mic00,"Oh yeah, yeah, yeah."
31,01:10,01:10,Speaker mic01,Okay.
32,01:11,01:12,Speaker mic01,"Yeah, just the damage."
33,01:12,01:22,Speaker mic01,"Then uh um okay, then it's 24, and then on a successful hit, um good luck everyone."
34,01:14,01:15,Speaker mic00,"I know I'm permissive, but not that much."
35,01:19,01:31,Speaker mic00,Um everything definitely button target was equal to the I'm gonna five.
36,01:22,01:25,Speaker mic01,Uh everything within a five feet of the target must make six.
37,01:26,01:28,Speaker mic01,Equal uh DC equal to eight.
38,01:31,01:33,Speaker mic00,Or separate one the eight fire damage.
39,01:34,01:44,Speaker mic00,So basically uh so I shoot the hits on the non impact uh using additional weapons um explosive.
40,01:34,01:44,Speaker mic01,"So basically I hit him, so I shoot, it hits, and then on impact, uh there's an additional one d8 uh um explosive damage on it."
41,01:44,01:50,Speaker mic00,"Okay, how much uh I could that might do it."
42,01:44,01:49,Speaker mic01,"Okay, how much um well I I could I was gonna say you might kill me."
43,01:50,01:52,Speaker mic01,I've got one spell left and I'm gonna come over it.
44,01:53,01:55,Speaker mic00,How much was the initial damage?
45,01:53,01:56,Speaker mic01,How much was the last when it's my turn?
46,01:56,02:02,Speaker mic01,I would probably heal myself with when I just need to have a and then the fire damage d8?
47,01:57,01:58,Speaker mic00,Twenty-four?
48,01:58,02:00,Speaker mic00,Big big big hit.
49,02:00,02:00,Speaker mic00,Okay.
50,02:00,02:02,Speaker mic00,And then the fire damage is the eight.
51,02:02,02:03,Speaker mic01,1d8.
52,02:03,02:06,Speaker mic01,Uh and that's and that's within five feet.
53,02:04,02:06,Speaker mic00,And that's what's in five feet?
54,02:07,02:12,Speaker mic01,"Yeah, so uh and right meet our or N strix, I should say."
55,02:07,02:10,Speaker mic00,So that's that's parent and ragneet too.
56,02:10,02:12,Speaker mic00,"Or as three, I should say."
57,02:12,02:13,Speaker mic01,How what was the range?
58,02:13,02:15,Speaker mic01,Did you say within five feet of it?
59,02:15,02:15,Speaker mic01,Five feet.
60,02:15,02:18,Speaker mic01,"Yeah, I'm probably within five feet of that, right?"
61,02:18,02:20,Speaker mic01,"You look about yeah, yeah."
62,02:20,02:25,Speaker mic01,"I would say if it's engaging him in melee, then it's yeah, by default, presumably."
63,02:23,02:23,Speaker mic00,It is.
64,02:25,02:28,Speaker mic01,"Yeah, yeah."
65,02:28,02:33,Speaker mic01,And what was the can I read the what decks?
66,02:33,02:41,Speaker mic00,Uh plus you put C on is plus you are just a pretty hard one.
67,02:33,02:41,Speaker mic01,Uh the de DC equal to eight plus your proficiency bonus plus your dexterity modifier.
68,02:41,02:44,Speaker mic01,"And if you succeed, do you still take damage?"
69,02:42,02:43,Speaker mic00,So it's a thing.
70,02:44,02:48,Speaker mic01,Is it um it doesn't say it?
71,02:45,02:53,Speaker mic00,Um either you need to save or feel like that.
72,02:48,02:50,Speaker mic01,It's just either you make the save or you don't.
73,02:50,02:51,Speaker mic01,Okay.
74,02:51,02:53,Speaker mic01,So I could potentially make it save.
