ID,Start,End,Speaker,Text
1736,"01:06:35","01:06:45",Catarina,"a contraction detonating and a burst of electricity coming out from that gear that I've planted directly behind this foul thing."
1737,"01:06:46","01:06:48",Catarina,"It's going to need to make a save."
1738,"01:06:49","01:06:49",Catarina,"Okay."
1739,"01:06:49","01:06:50",Catarina,"Of..."
1740,"01:06:54","01:06:54",Catarina,"Oh,"
1741,"01:06:55","01:06:55",Catarina,"wait."
1742,"01:06:55","01:06:55",Catarina,"No,"
1743,"01:06:55","01:06:56",Catarina,"hang on."
1744,"01:06:56","01:06:57",Catarina,"Maybe I'm making the wrong one?"
1745,"01:07:02","01:07:02",DM,"Oh,"
1746,"01:07:02","01:07:03",DM,"this music sucks."
1747,"01:07:03","01:07:03",DM,"Kater,"
1748,"01:07:03","01:07:05",DM,"do you mind being the music person?"
1749,"01:07:06","01:07:06",DM,"Yeah."
1750,"01:07:08","01:07:09",Speaker 1,"What was your hand?"
1751,"01:07:09","01:07:10",Crissdalynn,"I was going to say,"
1752,"01:07:10","01:07:12",Crissdalynn,"she was shouting at the people up on the street."
1753,"01:07:13","01:07:16",Crissdalynn,"We had determined last session that it is just dawn."
1754,"01:07:17","01:07:17",Speaker 1,"Yeah."
1755,"01:07:18","01:07:19",Crissdalynn,"So we may not have a lot of people up there."
1756,"01:07:20","01:07:20",DM,"Yeah,"
1757,"01:07:20","01:07:22",DM,"I'd forget a point."
1758,"01:07:23","01:07:26",Catarina,"So it needs to make a constitution saving throw of 17."
1759,"01:07:27","01:07:27",DM,"Okay,"
1760,"01:07:27","01:07:30",DM,"I got a 16 plus,"
1761,"01:07:30","01:07:31",DM,"what's my Thund..."
1762,"01:07:31","01:07:31",DM,"Oh!"
1763,"01:07:31","01:07:32",DM,"That does it,"
1764,"01:07:32","01:07:32",DM,"18."
1765,"01:07:33","01:07:37",Catarina,"It will still take thunder damage despite the save."
1766,"01:07:37","01:07:38",DM,"And it's that one..."
1767,"01:07:40","01:07:44",Catarina,"But it is not pushed 10 feet away from me because it's less successful."
1768,"01:07:44","01:07:46",Catarina,"And I do not pull my damage."
1769,"01:07:46","01:07:47",Crissdalynn,"Not just being towards."
1770,"01:07:48","01:07:48",Crissdalynn,"Yeah,"
1771,"01:07:48","01:07:49",DM,"and so you're..."
1772,"01:07:50","01:07:51",DM,"Wait,"
1773,"01:07:51","01:07:51",DM,"who are you again?"
1774,"01:07:51","01:07:52",DM,"Where are you?"
1775,"01:07:52","01:07:53",DM,"I am right here now."
1776,"01:07:53","01:07:53",DM,"Okay,"
1777,"01:07:53","01:07:53",DM,"yeah."
1778,"01:07:53","01:07:59",Catarina,"So I'm just getting my dice and then I get the correct ones."
1779,"01:08:02","01:08:10",Catarina,"So that's going to be nine points of thunder damage but that is going to be so four or five,"
1780,"01:08:10","01:08:12",Catarina,"I don't know if you round up or down,"
1781,"01:08:12","01:08:13",Catarina,"of thunder damage."
1782,"01:08:14","01:08:14",Speaker 1,"Okay,"
1783,"01:08:14","01:08:15",Speaker 1,"alright."
1784,"01:08:16","01:08:16",DM,"Yeah,"
1785,"01:08:16","01:08:18",DM,"it seems to kind of just..."
1786,"01:08:18","01:08:19",DM,"In addition,"
1787,"01:08:20","01:08:32",Catarina,"in secured objects that are completely within the area effect are automatically pushed 10 feet away from you by the spell's effect and the spell emits a thunderous boom audible out to 300 feet."
1788,"01:08:33","01:08:33",Catarina,"Boom!"
1789,"01:08:34","01:08:41",Catarina,"Like I didn't know if there was creature coming through so everything is going to be pushed back 10 feet from..."
1790,"01:08:41","01:08:42",DM,"No,"
1791,"01:08:42","01:08:42",Catarina,"my chair!"
1792,"01:08:43","01:08:49",DM,"There's just a thundering echo-ish boom that you can hear echoing through out the..."
1793,"01:08:50","01:08:50",DM,"What's the range on that?"
1794,"01:08:52","01:08:55",Catarina,"So I think he's up top Right?"
1795,"01:08:55","01:08:55",Catarina,"No,"
1796,"01:08:55","01:08:55",Catarina,"no,"
1797,"01:08:55","01:09:01",DM,"they're on the ground Down here They're making their way towards Oh,"
1798,"01:09:01","01:09:05",Catarina,"I thought they were already Clalled up in the streets That's what I was verifying No,"
1799,"01:09:05","01:09:05",Delmar,"no,"
1800,"01:09:05","01:09:09",Delmar,"no Just down with us But try and work its way up to the streets Yeah,"
1801,"01:09:09","01:09:10",Catarina,"you're in a Oh Okay,"
1802,"01:09:11","01:09:12",Catarina,"so it is still there Yeah,"
1803,"01:09:12","01:09:15",DM,"you can get What's the range on this level?"
1804,"01:09:15","01:09:22",DM,"I was going to say like 5 foot I was going to say I was like If it's 15 or higher You get both Yeah Look at my spell again."
1805,"01:09:22","01:09:23",DM,"It's 5 or 10,"
1806,"01:09:23","01:09:23",DM,"probably."
1807,"01:09:24","01:09:28",Catarina,"It's whatever is 15 feet radius of what was by me."
1808,"01:09:28","01:09:31",Catarina,"So if anything else would need to make the con save,"
1809,"01:09:32","01:09:32",Catarina,"I'm 17."
1810,"01:09:33","01:09:33",DM,"That's good."
1811,"01:09:33","01:09:36",DM,"So the other one needs to make it 6."
1812,"01:09:36","01:09:37",DM,"That one fails."
1813,"01:09:37","01:09:43",Catarina,"So he would have taken the full 9 points of thunder damage and would have been pushed back the 10 feet."
1814,"01:09:45","01:09:46",Catarina,"So I guess that's an additional."
1815,"01:09:47","01:09:49",Catarina,"They're just really stuck to the wall."
1816,"01:09:50","01:09:50",DM,"Yeah,"
1817,"01:09:50","01:09:52",DM,"he's kind of launched backwards in the rubble."
1818,"01:09:54","01:09:59",DM,"Imagine like a crater of rubble and dirt and stuff like that."
1819,"01:09:59","01:10:00",DM,"Yeah."
1820,"01:10:00","01:10:00",Speaker 1,"Okay."
1821,"01:10:01","01:10:02",Speaker 1,"I'm not sure."
1822,"01:10:02","01:10:02",Catarina,"Yeah,"
1823,"01:10:03","01:10:03",Catarina,"no,"
1824,"01:10:03","01:10:03",Catarina,"no,"
1825,"01:10:03","01:10:03",Catarina,"you're good."
1826,"01:10:04","01:10:04",Catarina,"Just clarifying."
1827,"01:10:06","01:10:06",Speaker 1,"Okay."
1828,"01:10:06","01:10:07",DM,"Yeah,"
1829,"01:10:07","01:10:08",DM,"you still have your bonus action,"
1830,"01:10:08","01:10:09",DM,"yeah?"
1831,"01:10:09","01:10:12",Catarina,"So I have my good friend."
1832,"01:10:13","01:10:14",Catarina,"I use my whining boots for me,"
1833,"01:10:15","01:10:18",Catarina,"but my bird does go directly immediately after me."
1834,"01:10:18","01:10:19",Catarina,"I forgot about your bird."
1835,"01:10:20","01:10:20",Catarina,"So my birdie here."
1836,"01:10:23","01:10:26",Catarina,"So you guys are all relatively full health from the,"
1837,"01:10:27","01:10:28",Catarina,"from like we were given a long rest."
1838,"01:10:28","01:10:29",Catarina,"Is that what?"
1839,"01:10:30","01:10:31",DM,"Entirely full minus four."
1840,"01:10:32","01:10:32",Speaker 1,"Yeah."
1841,"01:10:33","01:10:33",Catarina,"Minus four."
1842,"01:10:33","01:10:34",Catarina,"That's right."
1843,"01:10:34","01:10:34",Catarina,"Okay."
1844,"01:10:34","01:10:35",Delmar,"Yeah."
1845,"01:10:35","01:10:36",Delmar,"I'm at 30 or 38."
1846,"01:10:37","01:10:40",Delmar,"Blast damage and then tongue damage."
1847,"01:10:41","01:10:41",Delmar,"Tongue damage."
1848,"01:10:42","01:10:42",Delmar,"Tongue damage."
1849,"01:10:44","01:10:45",DM,"Title your sex tape."
1850,"01:10:46","01:10:46",Speaker 1,"Basically."
1851,"01:10:48","01:10:50",DM,"I need that out of context."
1852,"01:10:55","01:10:56",Delmar,"How was your Friday night?"
1853,"01:10:56","01:10:59",Delmar,"I took some blast damage and some tongue damage."
1854,"01:11:01","01:11:04",Catarina,"So this one is still up."
1855,"01:11:04","01:11:06",Catarina,"Are they in our vision?"
1856,"01:11:07","01:11:07",Catarina,"Like,"
1857,"01:11:07","01:11:08",Catarina,"to see?"
1858,"01:11:08","01:11:11",Catarina,"My bird can see in dark vision if it was."
1859,"01:11:11","01:11:12",DM,"It's morning."
1860,"01:11:12","01:11:13",DM,"It's basically dawn."
1861,"01:11:14","01:11:17",Catarina,"So he is going to go over and fly to zap this thing."
1862,"01:11:18","01:11:18",Catarina,"fucking grass."
1863,"01:11:19","01:11:19",Speaker 1,"Alright."
1864,"01:11:21","01:11:21",DM,"We're done."
1865,"01:11:24","01:11:28",Catarina,"His trusty little stick he's so proud of."
1866,"01:11:28","01:11:29",Catarina,"Go get him,"
1867,"01:11:29","01:11:29",Catarina,"Strix!"
1868,"01:11:30","01:11:30",Speaker 1,"Get him!"
1869,"01:11:38","01:11:39",Speaker 4,"Fifteen hit?"
1870,"01:11:40","01:11:41",Speaker 7,"Just a second."
1871,"01:11:42","01:11:42",Speaker 7,"I believe it does."
1872,"01:11:44","01:11:44",Speaker 7,"Yes,"
1873,"01:11:44","01:11:44",Speaker 7,"it does."
1874,"01:11:44","01:11:45",Speaker 7,"Okay."
1875,"01:11:46","01:11:49",Speaker 7,"I like this,"
1876,"01:11:49","01:11:49",Speaker 7,"though,"
1877,"01:11:49","01:11:50",Catarina,"whatever this is."
1878,"01:11:50","01:11:51",Catarina,"I like it,"
1879,"01:11:51","01:11:53",Delmar,"but this sounds like a baby."
1880,"01:11:56","01:11:58",Catarina,"Ten points of..."
1881,"01:11:58","01:11:59",Delmar,"When the mobster baby is just crying."
1882,"01:12:00","01:12:01",Delmar,"Ten points of..."
1883,"01:12:02","01:12:03",Catarina,"And he,"
1884,"01:12:04","01:12:05",Catarina,"on his next turn,"
1885,"01:12:05","01:12:09",Catarina,"cannot make opportunity attacks until the start of its next turn."
1886,"01:12:09","01:12:09",DM,"Okay."
1887,"01:12:10","01:12:12",DM,"That one's looking pretty crispy and rough."
1888,"01:12:13","01:12:13",Catarina,"Zaxxon,"
1889,"01:12:13","01:12:14",Catarina,"what is..."
1890,"01:12:14","01:12:15",Catarina,"It's still alive."
1891,"01:12:15","01:12:17",Catarina,"So what is it that my bird's seeing?"
1892,"01:12:17","01:12:17",Catarina,"Like,"
1893,"01:12:17","01:12:18",Catarina,"what are these?"
1894,"01:12:18","01:12:20",DM,"As your bird sits on it,"
1895,"01:12:20","01:12:23",DM,"you look at it,"
1896,"01:12:23","01:12:24",DM,"and this thing,"
1897,"01:12:24","01:12:31",DM,"the little squirmy leeches you've originally seen moving away from Otar in the explosion,"
1898,"01:12:32","01:12:33",DM,"at some point,"
1899,"01:12:33","01:12:35",DM,"this has started to look more human."
1900,"01:12:37","01:12:43",DM,"You get the impression that this might have eaten someone."
1901,"01:12:44","01:12:44",DM,"Oh."
1902,"01:12:45","01:12:47",DM,"And this might have originally been a human,"
1903,"01:12:47","01:12:49",DM,"and it's been..."
1904,"01:12:50","01:12:50",Speaker 1,"Okay."
1905,"01:12:51","01:12:52",Catarina,"With that,"
1906,"01:12:52","01:12:52",Catarina,"though,"
1907,"01:12:52","01:12:53",Catarina,"in mind,"
1908,"01:12:53","01:12:54",Catarina,"because it's a long rest,"
1909,"01:12:54","01:12:57",Catarina,"I do have my Ragnito is going to be..."
1910,"01:12:57","01:13:00",Catarina,"You're going to see that he's going to be coming from his..."
1911,"01:13:01","01:13:02",Catarina,"Just some sparks,"
1912,"01:13:03","01:13:04",Catarina,"and him like..."
1913,"01:13:05","01:13:05",Catarina,"You know,"
1914,"01:13:05","01:13:06",Catarina,"left that leg,"
1915,"01:13:07","01:13:07",Catarina,"this,"
1916,"01:13:07","01:13:07",Catarina,"this,"
1917,"01:13:07","01:13:07",Catarina,"this,"
1918,"01:13:08","01:13:11",Catarina,"and kind of like trying to slowly reprogram itself."
1919,"01:13:12","01:13:14",Catarina,"But that's going to be all that it does."
1920,"01:13:15","01:13:16",Catarina,"Yeah."
1921,"01:13:18","01:13:18",Speaker 1,"Yeah."
1922,"01:13:19","01:13:20",Speaker 1,"So,"
1923,"01:13:20","01:13:22",DM,"I guess that's my turn."
1924,"01:13:22","01:13:23",DM,"That's my turn."
1925,"01:13:23","01:13:23",DM,"Yeah,"
1926,"01:13:24","01:13:24",DM,"my turn."
1927,"01:13:26","01:13:27",DM,"Let's see here."
1928,"01:13:28","01:13:29",DM,"There's Lair,"
1929,"01:13:29","01:13:31",DM,"and she's talking around."
1930,"01:13:31","01:13:33",DM,"Next one up is number two."
1931,"01:13:34","01:13:34",DM,"But then,"
1932,"01:13:34","01:13:36",DM,"before we started talking about this,"
1933,"01:13:38","01:13:39",DM,"it's so much better."
1934,"01:13:39","01:13:40",DM,"I mean,"
1935,"01:13:40","01:13:41",DM,"J.C.'s pretty peak."
1936,"01:13:42","01:13:43",DM,"You can't get much better than that."
1937,"01:13:43","01:13:43",DM,"So,"
1938,"01:13:43","01:13:44",DM,"yeah."
1939,"01:13:45","01:13:46",DM,"Number four."
1940,"01:13:48","01:13:52",DM,"You guys hear from the distance a scream from the crowd."
1941,"01:13:53","01:13:59",DM,"Someone early who'd gone to the morning early and gotten trapped in the explosion in the rubble."
1942,"01:14:00","01:14:01",DM,"Oh my god!"
1943,"01:14:01","01:14:12",DM,"And then the sound of bone crunching and breaking before this one is now Oh,"
1944,"01:14:13","01:14:13",DM,"shit."
1945,"01:14:14","01:14:17",DM,"This is where these are coming from."
1946,"01:14:17","01:14:22",DM,"They're like chest bursters."
1947,"01:14:22","01:14:23",DM,"Oh!"
1948,"01:14:24","01:14:24",DM,"Yeah."
1949,"01:14:26","01:14:30",DM,"So it's going to use its actions to..."
1950,"01:14:34","01:14:35",DM,"Actually,"
1951,"01:14:37","01:14:42",DM,"I'm just going to assume there's it's early in the morning."
1952,"01:14:42","01:14:43",Speaker 1,"What are you assuming?"
1953,"01:14:44","01:14:45",DM,"If it's a 10 or higher,"
1954,"01:14:46","01:14:48",DM,"there are some people in the market."
1955,"01:14:50","01:14:51",DM,"Oh,"
1956,"01:14:51","01:14:51",DM,"yeah."
1957,"01:14:52","01:14:53",DM,"It's going for the crowds."
1958,"01:14:53","01:14:55",DM,"It's not going for you guys."
1959,"01:14:55","01:14:56",DM,"It's going for the crowds."
1960,"01:14:56","01:14:59",DM,"So it's going to just..."
1961,"01:14:59","01:15:02",DM,"The crowds immediately begin dispersing their..."
1962,"01:15:03","01:15:03",DM,"Yeah."
1963,"01:15:03","01:15:04",DM,"Yeah."
1964,"01:15:08","01:15:10",DM,"At first you hear a couple people in the crowd,"
1965,"01:15:11","01:15:13",DM,"""It looks so real!"" before crunch."
1966,"01:15:13","01:15:13",DM,"Oh yeah,"
1967,"01:15:13","01:15:14",DM,"the prank thing."
1968,"01:15:14","01:15:15",DM,"Oh,"
1969,"01:15:15","01:15:15",DM,"shoot."
1970,"01:15:16","01:15:19",DM,"And then the screaming starts."
1971,"01:15:19","01:15:19",DM,"""Mr."
1972,"01:15:19","01:15:19",DM,"Kemp,"
1973,"01:15:19","01:15:22",DM,"it's just a prank!"" It's like a serial killer on Halloween."
1974,"01:15:22","01:15:22",DM,"""Mr."
1975,"01:15:23","01:15:23",DM,"Kemp!"" ""Oh,"
1976,"01:15:23","01:15:27",DM,"this is perfect!"" ""It's just a prank!"" I can't believe Paizel here,"
1977,"01:15:27","01:15:28",Crissdalynn,"because he's still in town."
1978,"01:15:28","01:15:28",DM,"Yeah,"
1979,"01:15:28","01:15:29",DM,"that person's dead."
1980,"01:15:29","01:15:30",DM,"Okay,"
1981,"01:15:30","01:15:31",DM,"that slot is,"
1982,"01:15:32","01:15:33",DM,"yeah,"
1983,"01:15:33","01:15:34",DM,"spending his action eating that person."
1984,"01:15:36","01:15:38",DM,"What color slugs are these?"
1985,"01:15:39","01:15:40",DM,"These are little red slugs."
1986,"01:15:40","01:15:45",DM,"They look like tiny little versions of a motar himself."
1987,"01:15:46","01:15:47",DM,"He's spawning."
1988,"01:15:49","01:15:49",DM,"Kisselin,"
1989,"01:15:50","01:15:50",DM,"you're up."
1990,"01:15:50","01:15:51",Crissdalynn,"Okay,"
1991,"01:15:51","01:15:52",Crissdalynn,"well I'm already up."
1992,"01:15:52","01:15:55",Crissdalynn,"I'm going to draw my quarterstaff and just have that."
1993,"01:15:55","01:15:56",Crissdalynn,"That's how it works."
1994,"01:15:58","01:16:00",Crissdalynn,"And as my bonus action,"
1995,"01:16:00","01:16:02",Crissdalynn,"I'm going to activate my tattoo."
1996,"01:16:03","01:16:17",Crissdalynn,"My tattoo gives me plus one to bonus and damage which I didn't know until just this moment But now I have a range of 15 feet to go and I get an additional 1d6 Because I have two mighty mighty strikes."
1997,"01:16:17","01:16:27",Crissdalynn,"I'm gonna make sure I am 15 feet from this person what we thought That's 15 feet right?"
1998,"01:16:27","01:16:34",Crissdalynn,"Yeah Attack one 18 plus You need 16 to hit."
1999,"01:16:34","01:16:35",Crissdalynn,"Okay,"
2000,"01:16:35","01:16:35",Crissdalynn,"well that's fine."
2001,"01:16:36","01:16:37",Crissdalynn,"That's for the quarterstaff."
2002,"01:16:39","01:16:39",Speaker 1,"Okay."
2003,"01:16:41","01:16:41",Crissdalynn,"Wait a sec,"
2004,"01:16:41","01:16:42",Crissdalynn,"hold on,"
2005,"01:16:42","01:16:44",Crissdalynn,"maybe I need to read something really fast."
2006,"01:16:44","01:16:45",Crissdalynn,"Is it for the quarterstaff,"
2007,"01:16:45","01:16:47",Crissdalynn,"or am I just holding the quarterstaff?"
2008,"01:16:47","01:16:49",Delmar,"It's probably a giant boss."
2009,"01:16:49","01:16:50",Delmar,"I need to read my other check."
2010,"01:16:52","01:16:54",Delmar,"I'm just going to hold my quarterstaff a little bit."
2011,"01:16:56","01:16:56",Delmar,"I like it."
2012,"01:16:57","01:16:58",Crissdalynn,"It'll make sense in a second."
2013,"01:16:59","01:16:59",Crissdalynn,"Okay,"
2014,"01:16:59","01:17:00",Crissdalynn,"well you are moving towards it."
2015,"01:17:01","01:17:02",Crissdalynn,"I am moving towards it like 15 feet."
2016,"01:17:02","01:17:04",Crissdalynn,"You moved exactly 15 feet away from it."
2017,"01:17:04","01:17:06",Crissdalynn,"I'm 15 feet away from it."
2018,"01:17:06","01:17:07",Crissdalynn,"Okay."
2019,"01:17:08","01:17:10",Crissdalynn,"I'm exactly 15 feet away from it."
2020,"01:17:10","01:17:10",Crissdalynn,"Okay,"
2021,"01:17:10","01:17:12",Crissdalynn,"so I'm going to actually do unarmed strikes."
2022,"01:17:13","01:17:14",Crissdalynn,"I'm not going to use a quarter attack."
