ID,Start,End,Speaker,Text
1,"00:00:03","00:00:05",DM,"Last time on the Shattered Sea."
2,"00:00:06","00:00:10",DM,"The party's raid on the grung sewer magazines came apart at the last moment."
3,"00:00:11","00:00:12",DM,"Vashu the Weeping Veil fell,"
4,"00:00:12","00:00:14",DM,"then Ozzeth the Twice-Born."
5,"00:00:15","00:00:18",DM,"And the way to Solange Barret was finally clear."
6,"00:00:19","00:00:20",DM,"She was struck down,"
7,"00:00:20","00:00:20",DM,"near death,"
8,"00:00:21","00:00:24",DM,"and with one last titanic final effort,"
9,"00:00:24","00:00:26",DM,"brought the ceiling down upon herself."
10,"00:00:27","00:00:28",DM,"completed the ritual,"
11,"00:00:28","00:00:30",DM,"betting her life on its success."
12,"00:00:31","00:00:36",DM,"We left off at the last fraction of a moment before the calamity occurred,"
13,"00:00:36","00:00:38",DM,"light and flame frozen in time,"
14,"00:00:39","00:00:41",DM,"just beginning to blossom across the ceiling."
15,"00:00:42","00:00:45",DM,"Tonight starts three nights earlier."
16,"00:00:45","00:00:47",DM,"At The Uncertainty's rail,"
17,"00:00:47","00:00:49",DM,"with the rest of the crew long asleep,"
18,"00:00:50","00:00:54",DM,"Thunk is pushed to extreme measures on today's episode of What's Up with Thunk."
19,"00:00:55","00:00:56",Speaker 1,"Yay!"
20,"00:00:59","00:01:25",DM,"We need a theme song for it Yeah you guys know how this works now There's gonna be some slight changes I got rid of that whole Two rolls and then you're done Thing that I hated that so it's a big group skill check Everyone rolls So it's just a collective A high collective DC Basically,"
21,"00:01:26","00:01:28",DM,"some of them are a high DC."
22,"00:01:28","00:01:29",DM,"Some of them,"
23,"00:01:29","00:01:30",DM,"there's multiple roles."
24,"00:01:31","00:01:34",DM,"So you guys can allocate them or play it by ear,"
25,"00:01:34","00:01:35",DM,"basically."
26,"00:01:35","00:01:36",DM,"It's a group skill check."
27,"00:01:36","00:01:39",DM,"I have some ideas for what kind of roles I'm looking for."
28,"00:01:40","00:01:40",DM,"But suggest."
29,"00:01:41","00:01:43",DM,"If you guys want to improvise,"
30,"00:01:44","00:01:44",DM,"totally cool with that."
31,"00:01:46","00:01:46",DM,"All right."
32,"00:01:46","00:01:46",DM,"All right."
33,"00:01:49","00:01:50",DM,"The hour is late."
34,"00:01:51","00:01:54",DM,"And The Uncertainty rides quiet at her moorin',"
35,"00:01:54","00:01:55",DM,"her deck empty,"
36,"00:01:56","00:01:59",DM,"but for the two of you and the harbor working away in the dark."
37,"00:02:00","00:02:05",DM,"You've spent the last day flinching at the sound of Rattkin footsteps on the weather deck above you."
38,"00:02:05","00:02:07",DM,"A thousand gold on the ship's credit,"
39,"00:02:07","00:02:10",DM,"two long nines and two short thirty-twos,"
40,"00:02:10","00:02:14",DM,"ordered in hand you don't remember signing until you saw it on the paper."
41,"00:02:15","00:02:18",DM,"Nona Black-Jaw hasn't said one word about it yet,"
42,"00:02:18","00:02:21",DM,"far too busy plotting your imminent and painful demise,"
43,"00:02:22","00:02:22",DM,"you imagine."
